uniprot_accession,protein_name,pathway,compound
P08243,Asparagine synthetase [glutamine-hydrolyzing],Reactome_R-HSA-1430728,caffeine
P08263,Glutathione S-transferase A1,Reactome_R-HSA-1430728,caffeine
P08319,All-trans-retinol dehydrogenase [NAD(+)] ADH4,Reactome_R-HSA-1430728,caffeine
P08397,Porphobilinogen deaminase,Reactome_R-HSA-1430728,caffeine
P08574,"Cytochrome c1, heme protein, mitochondrial",Reactome_R-HSA-1430728,caffeine
P08684,Cytochrome P450 3A4,Reactome_R-HSA-1430728,caffeine
P08686,Steroid 21-hydroxylase,Reactome_R-HSA-1430728,caffeine
P08842,Steryl-sulfatase,Reactome_R-HSA-1430728,caffeine
P09104,Gamma-enolase,Reactome_R-HSA-1430728,caffeine
P09110,"3-ketoacyl-CoA thiolase, peroxisomal",Reactome_R-HSA-1430728,caffeine
P09172,Dopamine beta-hydroxylase,Reactome_R-HSA-1430728,caffeine
P09210,Glutathione S-transferase A2,Reactome_R-HSA-1430728,caffeine
P09211,Glutathione S-transferase P,Reactome_R-HSA-1430728,caffeine
P09417,Dihydropteridine reductase,Reactome_R-HSA-1430728,caffeine
P09455,Retinol-binding protein 1,Reactome_R-HSA-1430728,caffeine
P09467,"Fructose-1,6-bisphosphatase 1",Reactome_R-HSA-1430728,caffeine
P09488,Glutathione S-transferase Mu 1,Reactome_R-HSA-1430728,caffeine
P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P09669,Cytochrome c oxidase subunit 6C,Reactome_R-HSA-1430728,caffeine
P09917,Polyunsaturated fatty acid 5-lipoxygenase,Reactome_R-HSA-1430728,caffeine
P09923,Intestinal-type alkaline phosphatase,Reactome_R-HSA-1430728,caffeine
P09960,Leukotriene A-4 hydrolase,Reactome_R-HSA-1430728,caffeine
P09972,Fructose-bisphosphate aldolase C,Reactome_R-HSA-1430728,caffeine
P0C024,Peroxisomal coenzyme A diphosphatase NUDT7,Reactome_R-HSA-1430728,caffeine
P0CG29,Glutathione S-transferase theta-2,Reactome_R-HSA-1430728,caffeine
P0CG30,Glutathione S-transferase theta-2B,Reactome_R-HSA-1430728,caffeine
P0DJ07,"Protein PET100 homolog, mitochondrial",Reactome_R-HSA-1430728,caffeine
P0DKB6,Mitochondrial pyruvate carrier 1-like protein,Reactome_R-HSA-1430728,caffeine
P0DMM9,Sulfotransferase 1A3,Reactome_R-HSA-1430728,caffeine
P0DMN0,Sulfotransferase 1A4,Reactome_R-HSA-1430728,caffeine
P0DP23,Calmodulin-1,Reactome_R-HSA-1430728,caffeine
P10109,"Adrenodoxin, mitochondrial",Reactome_R-HSA-1430728,caffeine
P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",Reactome_R-HSA-1430728,caffeine
P10599,Thioredoxin,Reactome_R-HSA-1430728,caffeine
P10606,"Cytochrome c oxidase subunit 5B, mitochondrial",Reactome_R-HSA-1430728,caffeine
P10620,Microsomal glutathione S-transferase 1,Reactome_R-HSA-1430728,caffeine
P10746,Uroporphyrinogen-III synthase,Reactome_R-HSA-1430728,caffeine
P10768,S-formylglutathione hydrolase,Reactome_R-HSA-1430728,caffeine
P11086,Phenylethanolamine N-methyltransferase,Reactome_R-HSA-1430728,caffeine
P11166,"Solute carrier family 2, facilitated glucose transporter member 1",Reactome_R-HSA-1430728,caffeine
P11168,"Solute carrier family 2, facilitated glucose transporter member 2",Reactome_R-HSA-1430728,caffeine
P11172,Uridine 5'-monophosphate synthase,Reactome_R-HSA-1430728,caffeine
P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Reactome_R-HSA-1430728,caffeine
P11182,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",Reactome_R-HSA-1430728,caffeine
P11216,"Glycogen phosphorylase, brain form",Reactome_R-HSA-1430728,caffeine
P11217,"Glycogen phosphorylase, muscle form",Reactome_R-HSA-1430728,caffeine
P11245,Arylamine N-acetyltransferase 2,Reactome_R-HSA-1430728,caffeine
P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P11413,Glucose-6-phosphate 1-dehydrogenase,Reactome_R-HSA-1430728,caffeine
P11473,Vitamin D3 receptor,Reactome_R-HSA-1430728,caffeine
P11474,Steroid hormone receptor ERR1,Reactome_R-HSA-1430728,caffeine
P11498,"Pyruvate carboxylase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P11511,Aromatase,Reactome_R-HSA-1430728,caffeine
P11586,"C-1-tetrahydrofolate synthase, cytoplasmic",Reactome_R-HSA-1430728,caffeine
P11766,Alcohol dehydrogenase class-3,Reactome_R-HSA-1430728,caffeine
P11908,Ribose-phosphate pyrophosphokinase 2,Reactome_R-HSA-1430728,caffeine
P11926,Ornithine decarboxylase,Reactome_R-HSA-1430728,caffeine
P12235,ADP/ATP translocase 1,Reactome_R-HSA-1430728,caffeine
P12268,Inosine-5'-monophosphate dehydrogenase 2,Reactome_R-HSA-1430728,caffeine
P12270,Nucleoprotein TPR,Reactome_R-HSA-1430728,caffeine
P12277,Creatine kinase B-type,Reactome_R-HSA-1430728,caffeine
P12532,"Creatine kinase U-type, mitochondrial",Reactome_R-HSA-1430728,caffeine
P12694,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",Reactome_R-HSA-1430728,caffeine
P13196,"5-aminolevulinate synthase, non-specific, mitochondrial",Reactome_R-HSA-1430728,caffeine
P13686,Tartrate-resistant acid phosphatase type 5,Reactome_R-HSA-1430728,caffeine
P13716,Delta-aminolevulinic acid dehydratase,Reactome_R-HSA-1430728,caffeine
P13804,"Electron transfer flavoprotein subunit alpha, mitochondrial",Reactome_R-HSA-1430728,caffeine
P13807,"Glycogen [starch] synthase, muscle",Reactome_R-HSA-1430728,caffeine
P13929,Beta-enolase,Reactome_R-HSA-1430728,caffeine
P14060,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,Reactome_R-HSA-1430728,caffeine
P14061,17-beta-hydroxysteroid dehydrogenase type 1,Reactome_R-HSA-1430728,caffeine
P14207,Folate receptor beta,Reactome_R-HSA-1430728,caffeine
P14324,Farnesyl pyrophosphate synthase,Reactome_R-HSA-1430728,caffeine
P14550,Aldo-keto reductase family 1 member A1,Reactome_R-HSA-1430728,caffeine
P14555,"Phospholipase A2, membrane associated",Reactome_R-HSA-1430728,caffeine
P14618-1,PKM isozyme M2,Reactome_R-HSA-1430728,caffeine
P14618-2,PKM isoform 2,Reactome_R-HSA-1430728,caffeine
P14679,Tyrosinase,Reactome_R-HSA-1430728,caffeine
P14868,"Aspartate--tRNA ligase, cytoplasmic",Reactome_R-HSA-1430728,caffeine
P14902,"Indoleamine 2,3-dioxygenase 1",Reactome_R-HSA-1430728,caffeine
P14920,D-amino-acid oxidase,Reactome_R-HSA-1430728,caffeine
P14927,Cytochrome b-c1 complex subunit 7,Reactome_R-HSA-1430728,caffeine
P15090,"Fatty acid-binding protein, adipocyte",Reactome_R-HSA-1430728,caffeine
P15104,Glutamine synthetase,Reactome_R-HSA-1430728,caffeine
P15121,Aldo-keto reductase family 1 member B1,Reactome_R-HSA-1430728,caffeine
P15259,Phosphoglycerate mutase 2,Reactome_R-HSA-1430728,caffeine
P15289,Arylsulfatase A,Reactome_R-HSA-1430728,caffeine
P15291,"Beta-1,4-galactosyltransferase 1",Reactome_R-HSA-1430728,caffeine
P15428,15-hydroxyprostaglandin dehydrogenase [NAD(+)],Reactome_R-HSA-1430728,caffeine
P15531,Nucleoside diphosphate kinase A,Reactome_R-HSA-1430728,caffeine
P15559,NAD(P)H dehydrogenase [quinone] 1,Reactome_R-HSA-1430728,caffeine
P15586,N-acetylglucosamine-6-sulfatase,Reactome_R-HSA-1430728,caffeine
P15735,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",Reactome_R-HSA-1430728,caffeine
P15848,Arylsulfatase B,Reactome_R-HSA-1430728,caffeine
P15954,"Cytochrome c oxidase subunit 7C, mitochondrial",Reactome_R-HSA-1430728,caffeine
P16050,Polyunsaturated fatty acid lipoxygenase ALOX15,Reactome_R-HSA-1430728,caffeine
P16083,Ribosyldihydronicotinamide dehydrogenase [quinone],Reactome_R-HSA-1430728,caffeine
P16118,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1",Reactome_R-HSA-1430728,caffeine
P16152,Carbonyl reductase [NADPH] 1,Reactome_R-HSA-1430728,caffeine
P16219,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P16233,Pancreatic triacylglycerol lipase,Reactome_R-HSA-1430728,caffeine
P16260,Mitochondrial coenzyme A transporter SLC25A16,Reactome_R-HSA-1430728,caffeine
P16435,NADPH--cytochrome P450 reductase,Reactome_R-HSA-1430728,caffeine
P16442,Histo-blood group ABO system transferase,Reactome_R-HSA-1430728,caffeine
P16444,Dipeptidase 1,Reactome_R-HSA-1430728,caffeine
P16671,Platelet glycoprotein 4,Reactome_R-HSA-1430728,caffeine
P16885,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",Reactome_R-HSA-1430728,caffeine
P16930,Fumarylacetoacetase,Reactome_R-HSA-1430728,caffeine
P17174,"Aspartate aminotransferase, cytoplasmic",Reactome_R-HSA-1430728,caffeine
P17252,Protein kinase C alpha type,Reactome_R-HSA-1430728,caffeine
P17405,Sphingomyelin phosphodiesterase,Reactome_R-HSA-1430728,caffeine
P17540,"Creatine kinase S-type, mitochondrial",Reactome_R-HSA-1430728,caffeine
P17568,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,Reactome_R-HSA-1430728,caffeine
P17643,"5,6-dihydroxyindole-2-carboxylic acid oxidase",Reactome_R-HSA-1430728,caffeine
P17707,S-adenosylmethionine decarboxylase proenzyme,Reactome_R-HSA-1430728,caffeine
P17735,Tyrosine aminotransferase,Reactome_R-HSA-1430728,caffeine
P17812,CTP synthase 1,Reactome_R-HSA-1430728,caffeine
P17858,"ATP-dependent 6-phosphofructokinase, liver type",Reactome_R-HSA-1430728,caffeine
P17900,Ganglioside GM2 activator,Reactome_R-HSA-1430728,caffeine
P18054,Polyunsaturated fatty acid lipoxygenase ALOX12,Reactome_R-HSA-1430728,caffeine
P18074,General transcription and DNA repair factor IIH helicase subunit XPD,Reactome_R-HSA-1430728,caffeine
P18405,3-oxo-5-alpha-steroid 4-dehydrogenase 1,Reactome_R-HSA-1430728,caffeine
P18440,Arylamine N-acetyltransferase 1,Reactome_R-HSA-1430728,caffeine
P18577,Blood group Rh(CE) polypeptide,Reactome_R-HSA-1430728,caffeine
P18669,Phosphoglycerate mutase 1,Reactome_R-HSA-1430728,caffeine
P18827,Syndecan-1,Reactome_R-HSA-1430728,caffeine
P18859,"ATP synthase peripheral stalk subunit F6, mitochondrial",Reactome_R-HSA-1430728,caffeine
P19099,"Cytochrome P450 11B2, mitochondrial",Reactome_R-HSA-1430728,caffeine
P19113,Histidine decarboxylase,Reactome_R-HSA-1430728,caffeine
P19174,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",Reactome_R-HSA-1430728,caffeine
P19404,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",Reactome_R-HSA-1430728,caffeine
P19440,Glutathione hydrolase 1 proenzyme,Reactome_R-HSA-1430728,caffeine
P19526,"Galactoside alpha-(1,2)-fucosyltransferase 1",Reactome_R-HSA-1430728,caffeine
P19623,Spermidine synthase,Reactome_R-HSA-1430728,caffeine
P19634,Sodium/hydrogen exchanger 1,Reactome_R-HSA-1430728,caffeine
P19793,Retinoic acid receptor RXR-alpha,Reactome_R-HSA-1430728,caffeine
P19801,Diamine oxidase [copper-containing],Reactome_R-HSA-1430728,caffeine
P19971,Thymidine phosphorylase,Reactome_R-HSA-1430728,caffeine
P20061,Transcobalamin-1,Reactome_R-HSA-1430728,caffeine
P20062,Transcobalamin-2,Reactome_R-HSA-1430728,caffeine
P20132,L-serine dehydratase/L-threonine deaminase,Reactome_R-HSA-1430728,caffeine
P20292,Arachidonate 5-lipoxygenase-activating protein,Reactome_R-HSA-1430728,caffeine
P20309,Muscarinic acetylcholine receptor M3,Reactome_R-HSA-1430728,caffeine
P20338,Ras-related protein Rab-4A,Reactome_R-HSA-1430728,caffeine
P20339,Ras-related protein Rab-5A,Reactome_R-HSA-1430728,caffeine
P20645,Cation-dependent mannose-6-phosphate receptor,Reactome_R-HSA-1430728,caffeine
P20674,"Cytochrome c oxidase subunit 5A, mitochondrial",Reactome_R-HSA-1430728,caffeine
P20711,Aromatic-L-amino-acid decarboxylase,Reactome_R-HSA-1430728,caffeine
P20839,Inosine-5'-monophosphate dehydrogenase 1,Reactome_R-HSA-1430728,caffeine
P21108,Ribose-phosphate pyrophosphokinase 3,Reactome_R-HSA-1430728,caffeine
P21217,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3,Reactome_R-HSA-1430728,caffeine
P21266,Glutathione S-transferase Mu 3,Reactome_R-HSA-1430728,caffeine
P21397,Amine oxidase [flavin-containing] A,Reactome_R-HSA-1430728,caffeine
P21399,Cytoplasmic aconitate hydratase,Reactome_R-HSA-1430728,caffeine
P21439,Phosphatidylcholine translocator ABCB4,Reactome_R-HSA-1430728,caffeine
P21549,Alanine--glyoxylate aminotransferase,Reactome_R-HSA-1430728,caffeine
P21589,5'-nucleotidase,Reactome_R-HSA-1430728,caffeine
P21673,Diamine acetyltransferase 1,Reactome_R-HSA-1430728,caffeine
P21695,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",Reactome_R-HSA-1430728,caffeine
P21796,Non-selective voltage-gated ion channel VDAC1,Reactome_R-HSA-1430728,caffeine
P21912,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",Reactome_R-HSA-1430728,caffeine
P21953,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",Reactome_R-HSA-1430728,caffeine
P21964,Catechol O-methyltransferase,Reactome_R-HSA-1430728,caffeine
P22033,"Methylmalonyl-CoA mutase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P22059,Oxysterol-binding protein 1,Reactome_R-HSA-1430728,caffeine
P22102,Trifunctional purine biosynthetic protein adenosine-3,Reactome_R-HSA-1430728,caffeine
P22234,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,Reactome_R-HSA-1430728,caffeine
P22303,Acetylcholinesterase,Reactome_R-HSA-1430728,caffeine
P22304,Iduronate 2-sulfatase,Reactome_R-HSA-1430728,caffeine
P22307,Sterol carrier protein 2,Reactome_R-HSA-1430728,caffeine
P22307-1,SCPx,Reactome_R-HSA-1430728,caffeine
P22309,UDP-glucuronosyltransferase 1A1,Reactome_R-HSA-1430728,caffeine
P22310,UDP-glucuronosyltransferase 1A4,Reactome_R-HSA-1430728,caffeine
P22392,Nucleoside diphosphate kinase B,Reactome_R-HSA-1430728,caffeine
P22413,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,Reactome_R-HSA-1430728,caffeine
P22557,"5-aminolevulinate synthase, erythroid-specific, mitochondrial",Reactome_R-HSA-1430728,caffeine
P22570,"NADPH:adrenodoxin oxidoreductase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P22680,Cytochrome P450 7A1,Reactome_R-HSA-1430728,caffeine
P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial",Reactome_R-HSA-1430728,caffeine
P22748,Carbonic anhydrase 4,Reactome_R-HSA-1430728,caffeine
P22760,Arylacetamide deacetylase,Reactome_R-HSA-1430728,caffeine
P22830,"Ferrochelatase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P23109,AMP deaminase 1,Reactome_R-HSA-1430728,caffeine
P23219,Prostaglandin G/H synthase 1,Reactome_R-HSA-1430728,caffeine
P23280,Carbonic anhydrase 6,Reactome_R-HSA-1430728,caffeine
P23378,"Glycine dehydrogenase (decarboxylating), mitochondrial",Reactome_R-HSA-1430728,caffeine
P23434,"Glycine cleavage system H protein, mitochondrial",Reactome_R-HSA-1430728,caffeine
P23511,Nuclear transcription factor Y subunit alpha,Reactome_R-HSA-1430728,caffeine
P23526,Adenosylhomocysteinase,Reactome_R-HSA-1430728,caffeine
P23677,Inositol-trisphosphate 3-kinase A,Reactome_R-HSA-1430728,caffeine
P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial",Reactome_R-HSA-1430728,caffeine
P23919,Thymidylate kinase,Reactome_R-HSA-1430728,caffeine
P23921,Ribonucleoside-diphosphate reductase large subunit,Reactome_R-HSA-1430728,caffeine
P24298,Alanine aminotransferase 1,Reactome_R-HSA-1430728,caffeine
P24311,"Cytochrome c oxidase subunit 7B, mitochondrial",Reactome_R-HSA-1430728,caffeine
P24539,"ATP synthase peripheral stalk subunit b, mitochondrial",Reactome_R-HSA-1430728,caffeine
P24557,Thromboxane-A synthase,Reactome_R-HSA-1430728,caffeine
P24588,A-kinase anchor protein 5,Reactome_R-HSA-1430728,caffeine
P24752,"Acetyl-CoA acetyltransferase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P24863,Cyclin-C,Reactome_R-HSA-1430728,caffeine
P25208,Nuclear transcription factor Y subunit beta,Reactome_R-HSA-1430728,caffeine
P25325,3-mercaptopyruvate sulfurtransferase,Reactome_R-HSA-1430728,caffeine
P25705,"ATP synthase F(1) complex subunit alpha, mitochondrial",Reactome_R-HSA-1430728,caffeine
P25874,Mitochondrial brown fat uncoupling protein 1,Reactome_R-HSA-1430728,caffeine
P26439,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,Reactome_R-HSA-1430728,caffeine
P26440,"Isovaleryl-CoA dehydrogenase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P27144,"Adenylate kinase 4, mitochondrial",Reactome_R-HSA-1430728,caffeine
P27169,Serum paraoxonase/arylesterase 1,Reactome_R-HSA-1430728,caffeine
P27338,Amine oxidase [flavin-containing] B,Reactome_R-HSA-1430728,caffeine
P27352,Cobalamin binding intrinsic factor,Reactome_R-HSA-1430728,caffeine
P27469,G0/G1 switch protein 2,Reactome_R-HSA-1430728,caffeine
P27707,Deoxycytidine kinase,Reactome_R-HSA-1430728,caffeine
P27708,Multifunctional protein CAD,Reactome_R-HSA-1430728,caffeine
P27986,Phosphatidylinositol 3-kinase regulatory subunit alpha,Reactome_R-HSA-1430728,caffeine
P27987,Inositol-trisphosphate 3-kinase B,Reactome_R-HSA-1430728,caffeine
P28161,Glutathione S-transferase Mu 2,Reactome_R-HSA-1430728,caffeine
P28329,Choline O-acetyltransferase,Reactome_R-HSA-1430728,caffeine
P28330,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",Reactome_R-HSA-1430728,caffeine
P28332,Alcohol dehydrogenase 6,Reactome_R-HSA-1430728,caffeine
P28340,DNA polymerase delta catalytic subunit,Reactome_R-HSA-1430728,caffeine
P28907,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,Reactome_R-HSA-1430728,caffeine
P29401,Transketolase,Reactome_R-HSA-1430728,caffeine
P29474,Nitric oxide synthase 3,Reactome_R-HSA-1430728,caffeine
P29966,Myristoylated alanine-rich C-kinase substrate,Reactome_R-HSA-1430728,caffeine
P30038,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P30047,GTP cyclohydrolase 1 feedback regulatory protein,Reactome_R-HSA-1430728,caffeine
P30049,"ATP synthase F(1) complex subunit delta, mitochondrial",Reactome_R-HSA-1430728,caffeine
P30084,"Enoyl-CoA hydratase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P30536,Translocator protein,Reactome_R-HSA-1430728,caffeine
P30566,Adenylosuccinate lyase,Reactome_R-HSA-1430728,caffeine
P30613-1,PKLR isozyme R,Reactome_R-HSA-1430728,caffeine
P30613-2,PKLR isozyme L,Reactome_R-HSA-1430728,caffeine
P30711,Glutathione S-transferase theta-1,Reactome_R-HSA-1430728,caffeine
P30793,GTP cyclohydrolase 1,Reactome_R-HSA-1430728,caffeine
P30837,"Aldehyde dehydrogenase X, mitochondrial",Reactome_R-HSA-1430728,caffeine
P30838,"Aldehyde dehydrogenase, dimeric NADP-preferring",Reactome_R-HSA-1430728,caffeine
P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",Reactome_R-HSA-1430728,caffeine
P31153,S-adenosylmethionine synthase isoform type-2,Reactome_R-HSA-1430728,caffeine
P31213,3-oxo-5-alpha-steroid 4-dehydrogenase 2,Reactome_R-HSA-1430728,caffeine
P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",Reactome_R-HSA-1430728,caffeine
P31350,Ribonucleoside-diphosphate reductase subunit M2,Reactome_R-HSA-1430728,caffeine
P31513,Flavin-containing monooxygenase 3,Reactome_R-HSA-1430728,caffeine
P31749,RAC-alpha serine/threonine-protein kinase,Reactome_R-HSA-1430728,caffeine
P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",Reactome_R-HSA-1430728,caffeine
P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P31939,Bifunctional purine biosynthesis protein ATIC,Reactome_R-HSA-1430728,caffeine
P32320,Cytidine deaminase,Reactome_R-HSA-1430728,caffeine
P32321,Deoxycytidylate deaminase,Reactome_R-HSA-1430728,caffeine
P32322,"Pyrroline-5-carboxylate reductase 1, mitochondrial",Reactome_R-HSA-1430728,caffeine
P32754,4-hydroxyphenylpyruvate dioxygenase,Reactome_R-HSA-1430728,caffeine
P32929,Cystathionine gamma-lyase,Reactome_R-HSA-1430728,caffeine
P33121,Long-chain-fatty-acid--CoA ligase 1,Reactome_R-HSA-1430728,caffeine
P33316-2,dUTP pyrophosphatase,Reactome_R-HSA-1430728,caffeine
P33527,Multidrug resistance-associated protein 1,Reactome_R-HSA-1430728,caffeine
P33897,ATP-binding cassette sub-family D member 1,Reactome_R-HSA-1430728,caffeine
P34059,N-acetylgalactosamine-6-sulfatase,Reactome_R-HSA-1430728,caffeine
P34896,"Serine hydroxymethyltransferase, cytosolic",Reactome_R-HSA-1430728,caffeine
P34897,"Serine hydroxymethyltransferase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P34913,Bifunctional epoxide hydrolase 2,Reactome_R-HSA-1430728,caffeine
P35218,"Carbonic anhydrase 5A, mitochondrial",Reactome_R-HSA-1430728,caffeine
P35270,Sepiapterin reductase,Reactome_R-HSA-1430728,caffeine
P35354,Prostaglandin G/H synthase 2,Reactome_R-HSA-1430728,caffeine
P35398,Nuclear receptor ROR-alpha,Reactome_R-HSA-1430728,caffeine
P35475,Alpha-L-iduronidase,Reactome_R-HSA-1430728,caffeine
P35520,Cystathionine beta-synthase,Reactome_R-HSA-1430728,caffeine
P35557,Hexokinase-4,Reactome_R-HSA-1430728,caffeine
P35558,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",Reactome_R-HSA-1430728,caffeine
P35573,Glycogen debranching enzyme,Reactome_R-HSA-1430728,caffeine
P35575,Glucose-6-phosphatase catalytic subunit 1,Reactome_R-HSA-1430728,caffeine
P35658,Nuclear pore complex protein Nup214,Reactome_R-HSA-1430728,caffeine
P35754,Glutaredoxin-1,Reactome_R-HSA-1430728,caffeine
P35790,Choline kinase alpha,Reactome_R-HSA-1430728,caffeine
